id,transcription
0,HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT AND MUTTON PIECES TO BE LAIDLED OUT IN THICK PEVERED FLOWER FAT AND SAUCE
1,STEP IT INTO YOU HIS BELLY COUNSELLED HIM
2,AFTER EARLY NIGHTFALL THE YELLOW LAMPS WOULD LIGHT UP HERE AND THERE THE SQUALLAD QUARTER OF THE BROTHLES
3,YOU'LL BEARTY AND HE'D IN YOUR MIND
4,NAM BUT THEN FRESH NELLY IS WAITING ON YOU COULD NOT HUSBAND
5,THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHALLY'S FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS
6,THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHERE ON ANOTHER REPLATION BEGAN TO ONEFOLD ITSELF SLOWLY AND TO SPREAD ABROAD ITS WIDENING TAIL
7,A COLD LUCID INDIFFERENCE REIGNED IN HIS SOUL
8,THE CHAOS IN WHICH HIS ARDOUR EXTINGUISHED ITSELF WAS A COLD INDIFFERENT KNOWLEDGE OF HIMSELF
9,AT MOST BY AN ALMS GIVEN TO A BEGGAR WHOSE BLESSING HE FLED FROM HE MIGHT HOPE WEARILY TO WIN FOR HIMSELF SOME MEASURE OF ACTUAL GRACE
10,WELL NOW IT IS I DECLARE YOU HAVE A HEAD AND SO HAS MY STICK
11,ON SATURDAY MORNING'S WHEN THE SUDALITY MET IN THE CHAPEL TO RECITE THE LITTLE OFFICE HIS PLACE WAS AT CUSHIONED KNEELING DESK AT THE RIGHT OF THE ALTAR FROM WHICH HE LED HIS WING OF BOYS THROUGH THE RESPONSEES
12,HER EYES SEEMED TO REGARD HIM WITH MILD PITY HER HOLINESS A STRANGE LIGHT GLOWING FAINTLY UPON HER FRAIL FLESH DID NOT HUMILIATE THE SINNER WHO APPROACHED HER
13,IF EVER HE WAS IMPELLED TO CAST SIN FROM HIM AND TO REPENT THE IMPULSE THAT MOVED HIM WAS THE WISH TO BE HER NIGHT
14,HE TRIED TO THINK HOW IT COULD BE
15,BUT THE DUSK DEEPENING IN THE SCHOOL ROOM COVERED OVER HIS THOUGHTS THE BELL RANG
16,THEN HE CAN ASK HIM QUESTIONS ON THE CATICISM DOUBTLESS
17,STEPHEN LEANING BACK AND DRAWING IDLY ON HIS SCRIBBLER LISTENED TO THE TALK ABOUT HIM WHICH HARRY CHEPPED FROM TIME TO TIME BY SAYING
18,IT WAS STRANGE TOO THAT HE FOUND AN ARID PLEASURE IN FOLLOWING UP TO THE END THE RIGID LINES OF THE DOCTRINES OF THE CHURCH AND PENETRATING INTO OBSCURE SILENCE AS ONLY TO HEAR AND FEEL THE MORE DEEPLY HIS OWN CONDEMNATION
19,THE SENTENCE OF SAINT JAMES WHICH SAYS THAT HE WHO OFFENCE AGAINST ONE COMMANDMENT BECOMES GUILTY OF ALL HAD SEEN TO HIM FIRST A SWOLLEN PHRASE UNTIL HE HAD BEGUN TO GROPE IN THE DARKNESS OF HIS OWN STATE
20,IF A MAN HAD STOLEN A POUND IN HIS YOUTH AND HAD USED THAT BOUND TO A MASSACHIAGE FORTUNE HOW MUCH WAS HE OBLIGED TO GIVE BACK THE POUND HE HAD STILL AN ONLY WERE THE POUND TOGETHER WITH THE COMPOUND INTEREST A CROWING UPON IT OR ALL HIS HUGE FORTUNE
21,IF A LEMON AND GIVING BACK TO HIM POOR THE WATER BEFORE SAYING THE WORDS IS THE CHILD BAPTIZED
22,HOW COMES IT THAT WHILE THE FIRST BE ATTITUDE PROMISES THE KINGDOM OF HEAVEN TO THE POOR OF HEART THE SECOND BE ATTITUDE PROMISES ALSO TO THE MEAT THAT THEY SHALL POSSESS THE LAND
23,WHY WAS THE SACRED OF THE EUKURIST INSTITUTED UNDER THE TWO SPECIES OF BREAD AND WINE IF JESUS CHRIST BE PRESENT BODY AND BLOOD SOLE AND DIVINITY IN THE BREAD ALONE AND IN THE WINE ALONE
24,IF THE WINE CHANGE INTO VINEGAR AND THE HOST CRUMBLE INTO CORRUPTION AFTER THEY HAVE BEEN CONSECRATED IS JESUS CHRIST STILL PRESENT UNDER THEIR SPECIES AS GOD AND AS MAN
25,A GENTLE KICK FROM THE TALL BOY IN THE BENCH BEHIND URGED STEPHEN TO ASK A DIFFICULT QUESTION
26,THE RECTOR DID NOT ASK FOR A CATICISM TO HEAR THE LESSON FROM
27,HE CLASPED HIS HANDS ON THE DESK AND SAID
28,THE RETREAT WILL BEGIN ON WEDNESDAY AFTERNOON IN HONOR OF SAINT FRANCIS VIZIER WHOSE FEAST DAY IS SATURDAY
29,ON FRIDAY CONFESSION WILL BE HEARD ALL THE AFTERNOON AFTER BEADS
30,BEWHERE OF MAKING THAT MISTAKE
31,STEPHEN'S HEART BEGAN SLOWLY TO FOOL AND FADE WITH FEAR LIKE A WITHERING FLOWER
32,HE IS CALLED AS YOU KNOW THE APOSTLE OF THE INDIES
33,A GREAT SAINT SAINT SAINT FRANCIS'S EASIER
34,THE RECTOR PAUSED AND THEN SHAKING HIS CLASPED HANDS BEFORE HIM WENT ON
35,HE HAD TO FAITH IN HIM THAT MOVED MOUNTAINS
36,A GREAT SAINT SAINT SAINT FRANCIS'S EASIER
37,IN THE SILENCE THEIR DARK FIRE KINDLED THE DUSK INTO A TAWNY GLOW
38,HE COULD WAIT NO LONGER
39,FOR A FULL HOUR HE HAD PACED UP AND DOWN WAITING BUT HE COULD WAIT NO LONGER
40,HE SET OFF ABRUPTLY FOR THE BOWL WALKING RAPIDLY LESS HIS FATHER'S SHRILL WHISTLE MIGHT CALL HIM BACK AND IN A FEW MOMENTS HE HAD ROUND THE CURVE AT THE POLICE BARRACK AND WAS SAFE
41,THE UNION OF VERSITY
42,BRIGHT AFTER SATISFACTION UPLIFTED HIM LIKE LONG SLOW WAVES
43,WHO IS FEET ARE AS THE FEET OF HEARTS AND UNDERNEATH THE EVERLASTING ARMS
44,THE PRIDE OF THAT DIM IMAGE BROUGHT BACK TO HIS MIND THE DIGNITY OF THE OFFICE HE HAD REFUSED
45,SOON THE WHOLE BRIDGE WAS TREMBLING AND RESOUNDING
46,THE UNCOUTH FACES PASSED HIM TOO BY TOO STAYING YELLOW OR READ OR LIVE IT BY THE SEA AND AS HE STROVE TO LOOK AT THEM WITH EASE AND INDIFFERENCE A FAINT STAIN OF PERSONAL SHAME AND COMPOSITION ROSE TO HIS OWN FACE
47,AND READ WITH HIMSELF HE TRIED TO HIDE HIS FACE FROM THEIR EYES BY GAZING DOWN SIDEWAYS INTO THE SHALLOW SWIRLING WATER UNDER THE BRIDGE BUT HE STILL SAW A REFLECTION THEREIN OF THEIR TOP HEAVY SILK CATS AND HUMBLE TAKE LIKE COLORS AND LOOSELY HANGING CLERICAL CLOTHES BROTHER HICKY
48,BROTHER MC CARNAL BROTHER KIHIL
49,THEIR PIETY WOULD BE LIKE THEIR NAMES LIKE THEIR CLOTHES AND IT WAS IDLE FOR HIM TO TELL HIMSELF THAT THEIR HUMBLE AND CONTRACT HEARTS IT MIGHT BE PAID A FAR RICHER TRIBUTE OF DEVOTION THAN HIS HAD EVER BEEN A GIFT TENFOLD MORE ACCEPTABLE THAN HIS ELABORATE ADORATION
50,IT WAS IDLE FOR HIM TO MOVE HIMSELF TO BE GENEROUS TOWARDS THEM TO TELL HIMSELF THAT IF HE EVER CAME TO THEIR GATES STRIPPED OF HIS PRIDE BEET AND IN BEGGARS WEEDS THAT THEY WOULD BE GENEROUS TOWARDS HIM LOVING HIM AS THEMSELVES
51,I'LL AN EMBITTERING FINELY TO ARGUE AGAINST HIS OWN DISPASSIONATE SORTITUDE THAT THE COMMAND WOULD HAVE LOVE BIG US NOT TO LOVE OUR NEIGHBOUR AS OURSELVES WITH THE SAME AMOUNT AND INTENSITY OF LOVE BUT TO LOVE HIM AS OURSELVES WITH THE SAME KIND OF LOVE
52,THE PHRASE AND THE DAY AND THE SCENE HARMONIZED IN ACCORD
53, WORDS WAS AT THEIR COLORS
54,THEY WERE VOYAGING ACROSS THE DESERTS OF THE SKY A HOST OF NO MADS ON THE MARCH VOYAGE HIGH OVER ISLAND WESTWARD BOUND
55,THE EUROPE THEY HAD COME FROM LAY OUT THERE BEYOND THE IRISH SEA EUROPE OF STRANGE TONGUES AND VALLEY AND WOODPECKER AND SIT ADEL AND OF ENTRENCHED AND POWERFUL RACES
56,AGAIN AGAIN
57,A VOICE FROM BEYOND THE WORLD WAS CALLING
58,HER THOSE STEVENALS HERE COMES THE DATTLEAS
59,THEIR DIVING STONE POISED ON ITS RUDE SUPPORTS AND ROCKING UNDER THEIR PLUNCHES AND THE ROUGHHOONS OF THE SLOPING BREAKWATER OVER WHICH THEY SCRAMBLED IN THEIR HORSE PLAY GLEAMED WITH COLD WEATHER
60,HE STOOD STILL INDIFFERENCE TO THEIR CAUSE AND BURIED THEIR BATTER WITH EASY WORDS
61,IT WAS A PAIN TO SEE HIM AND A SWORD LIKE PAIN TO SEE THE SIGNS OF ADOLESCENCE THAT MADE REPELANT THEIR PITIABLE NAKEDNESS
62,STEPHENALLS DEAD LOSS
63,A MOMENT BEFORE THE GHOST OF THE ANCIENT KINGDOM OF THE DANES HAD LOOKED FORTH THROUGH THE VESTURE OF THE HEZRAPPED CITY
64,YOU WILL FIND ME CONTINUALLY SPEAKING OF FOUR MEN TITION HOLBEIN TURNER AND TO CUT UP AND ALMOST THE SAME TERMS
65,DID YOU NIGHT EVERY QUALITY AND SOMETIMES YOU WILL FIND YOU REFRIENDED THEM AS COHERENTS SOMETIMES AS KUREASURISTS
66,BY BEING SERIOUS OF COLOR THEY ARE STUDIOUS OF DIVISION AND WHILE THE KURASGURIS DEVELOPEDS HIMSELF TO THE REPRESENTATION OF DEGREES OF FORCE AND ONE THING ON SEPARATED LIGHT A COLOURISTS HAVE FOR THEIR FUNCTION THE ATTAINMENT OF BEAUTY BY ARRANGEMENT OF THE PROVISIONS OF LIGHT
67,MY FIRST AND PRINCIPAL REASON WAS THAT THEY ENFORCED BEYOND ALL RESISTANCE ON ANY STUDENT WHO MIGHT ATTEMPT TO COPY THEM THIS METHOD OF LAYING PORTIONS OF DISTINCT HUGH SIDE BY SIDE
68,SOME OF THE TOUCHES INDEED WHEN THE TINT HAS BEEN MIXED WITH MUCH WATER HAVE BEEN LAID IN LITTLE DROPS OR PONDS SO THAT THE PAVEMENT MIGHT CRYSTALLIZE HARD AT THE EDGE
